Ligand_SMILES,IC50 (nM)
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Cl)c(F)c1)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,63
OC(=O)CC[C@@H](CCCS)C(O)=O,67
Cc1ccc(CP(O)(=O)CC(CCC(O)=O)C(O)=O)cc1,68
OC(=O)c1cccc(COc2cccc(CCS)c2C(O)=O)c1,69
OC(=O)CC[C@H](CP(O)(O)=O)C(O)=O,80
OC(=O)CCC(CP(O)(O)=O)C(O)=O,80
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1cccc(Cl)c1)C(=O)CCCCCNC(=O)CCC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccc(O)c(Br)c1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,80
OC(=O)CCC(CP(O)(O)=O)C(O)=O,80
OC(=O)CCC(CP(O)(=O)Cc1c(F)c(F)c(F)c(F)c1F)C(O)=O,82
OC(=O)CCC(CP(O)(=O)Cc1c(F)c(F)c(F)c(F)c1F)C(O)=O,82
OC(=O)CCC(CP(O)(=O)Cc1c(F)c(F)c(F)c(F)c1F)C(O)=O,82
OC(=O)CCC(CP(O)(=O)Cc1c(F)c(F)c(F)c(F)c1F)C(O)=O,82
OC(=O)CC[C@H](CCCS)C(O)=O,85
OC(=O)CC[C@H](NC(=O)O[C@@H](CCCCNC(=O)c1ccc(cc1F)-c1ccccc1)OC=O)C(O)=O,86
COc1ccc(CN(CCCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCCCN=[N+]=[N-])cc1OC,88
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Br)cc1)C(=O)CCCCCNC(=O)CCC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccc(O)c(Br)c1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,89
OC(=O)[C@H](F)C[C@@H](CP(O)(O)=O)C(O)=O,89.4
OC(=O)CCC(CCCS)C(O)=O,90
OC(=O)CCC(CCCS)C(O)=O,90
OC(=O)CCC(CCCS)C(O)=O,90
OC(=O)CCC(CCCS)C(O)=O,90
OC(=O)CCC(CCCS)C(O)=O,90
OC(=O)CCC(CCCS)C(O)=O,90
OC(=O)CCC(CCCS)C(O)=O,90
COc1ccc(CP(O)(=O)CC(CCC(O)=O)C(O)=O)cc1,90
OC(=O)CCC(CCCS)C(O)=O,90
COc1ccc(C(O)=O)c(Cn2c(C(O)=O)c(CCS)c3ccccc23)c1,93
OC(=O)CC[C@H](CP(O)(O)=O)C(O)=O,94
OC(=O)c1c(CCS)c2ccccc2n1Cc1ccc(cc1)C(O)=O,94
CC(CP(O)(=O)CC(CCC(O)=O)C(O)=O)C(=O)OCc1ccccc1,95
ONC(=O)CC[C@@H](Cc1ccc(cc1)C(O)=O)C(O)=O,97
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Cn1nnc(I)c1COCCOCCOCCOCCOCCOCCOCCOCCNc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O)C(O)=O)C(O)=O,98
COc1ccc(cc1)C(=O)NCCCC[C@@H](OC=O)OC(=O)N[C@@H](CCC(O)=O)C(O)=O,100
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccccc1[N+]([O-])=O)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,101
COc1ccc2cc(ccc2c1)C(=O)NCCCC[C@@H](OC=O)OC(=O)N[C@@H](CCC(O)=O)C(O)=O,104
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1cccc(Cl)c1)C(=O)CCCCCNC(=O)CCC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,107
OC(=O)CC[C@H](NC(=O)NCC[C@H](NC(=O)CCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,107
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Cl)c(F)c1)C(=O)CCCCCNC(=O)CCC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,108
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Cl)cc1)C(=O)CCCCCN=[N+]=[N-])C(O)=O)C(O)=O,110
COc1ccc(CN(CCCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCCCN=[N+]=[N-])cc1,112
CC(C)C[C@@H](OC=O)OC(=O)N[C@@H](CCC(O)=O)C(O)=O,113
OC(=O)CC[C@H](NC(=O)O[C@@H](CCCCNC(=O)c1ccc(cc1)-c1ccc(OCCF)cc1)OC=O)C(O)=O,120
OC(=O)C(Cc1cccc(c1)C(O)=O)CP(O)(O)=O,120
NCc1c(I)nnn1CC(=O)NCCCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,123
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OCCCOP([O-])(=O)N[C@@H](CCC([O-])=O)C([O-])=O,125
OC(=O)c1c(CCS)c2ccccc2n1Cc1ccc(Br)c(c1)C(O)=O,140
OC(=O)c1ccccc1COc1cccc(CCS)c1C(O)=O,140
C[C@]12CC[C@H]3[C@@H](CCc4cc(OCCCOP([O-])(=O)N[C@@H](CCC([O-])=O)C([O-])=O)ccc34)[C@@H]1CCC2=O,140
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(O)cc1)C(=O)CCCCCN=[N+]=[N-])C(O)=O)C(O)=O,140
Nc1cccc(CP(O)(=O)CC(CCC(O)=O)C(O)=O)c1,143
CCN1\C(=C\C=C\C=C\C2=[N+](CCCCCC(=O)N[C@@H](CCC(=O)N[C@@H](COP([O-])(=O)O[C@@H](CCC(O)=O)C(O)=O)C(O)=O)C(O)=O)c3ccc4c(cc(cc4c3C2(C)C)S(O)(=O)=O)S(O)(=O)=O)C(C)(C)c2c1ccc1c(cc(cc21)S(O)(=O)=O)S(O)(=O)=O,144
OC(=O)CCC(CP(O)(=O)CCc1ccccc1)C(O)=O,149
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1cccc2ccccc12)C(O)=O)C(O)=O,154
OC(=O)CC[C@H](NC(=O)NC[C@H](NC(=O)CCCCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,155
OC(=O)CCC(CP(O)(=O)Cc1ccccc1F)C(O)=O,156
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Br)cc1)C(=O)CCCCCN=[N+]=[N-])C(O)=O)C(O)=O,170
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccccc1)C(=O)CCCNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,175
OC(=O)C(CCc1nnn[nH]1)CP(O)(O)=O,175
[O-]C(=O)CC[C@H](NP([O-])(=O)OCCCCc1ccccc1)C([O-])=O,180
[O-]C(=O)CC[C@H](NP([O-])(=O)OCCCCc1ccccc1)C([O-])=O,180
OC(=O)CCCC(CP(O)(O)=O)C(O)=O,185
OC(=O)CCCC(CP(O)(O)=O)C(O)=O,185
OC(=O)C(CCCCCS)Cc1cccc(c1)C(O)=O,190
OC(=O)CC[C@H](NC(=O)O[C@@H](CCCCNC(=O)c1ccc(Cl)cc1F)OC=O)C(O)=O,192
OC(=O)CC[C@H](NC(=O)NCC[C@H](NC(=O)CCCCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,195
OC(=O)C(CCc1ccccc1)CP(O)(O)=O,199
OC(=O)c1ccc(COc2cccc(CCS)c2C(O)=O)cc1,200
OC(=O)c1c(CCS)cccc1OCc1ccccc1,200
OC(=O)CC[C@H](NC(=O)O[C@@H](CCCCNC(=O)c1ccc(F)cc1)OC=O)C(O)=O,210
ONC(=O)CC(CCC(O)=O)C(O)=O,220
ONC(=O)CC(CCC(O)=O)C(O)=O,220
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Cl)cc1)C(=O)CCCCCNC(=O)CCC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,226
Oc1ccc(C[C@H]2[C@H](N(C(=O)Cc3cccc(c3)C(=O)OCc3ccccc3)C2=O)C(=O)OCc2ccccc2)cc1,226
Oc1ccc(C[C@H]2[C@H](N(C(=O)Cc3cccc(c3)C(=O)OCc3ccccc3)C2=O)C(=O)OCc2ccccc2)cc1,226
OC(=O)c1ccccc1-c1cccc(CCS)c1C(O)=O,230
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccccc1Cl)C(O)=O)C(O)=O,245
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1cccc(Cl)c1)C(O)=O)C(O)=O,277
CN(CCOP([O-])(=O)N[C@@H](CCC([O-])=O)C([O-])=O)C(=O)c1ccccc1,280
OC(=O)CC[C@H](NC(=O)NCC[C@H](NC(=O)CCCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,284
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Cl)c(F)c1)C(=O)CCCCCNC(=O)CCC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,294
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Cl)c(F)c1)C(=O)CCCCCNC(=O)CCC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,294
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Br)cc1)C(=O)CCCCCNC(=O)CCC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,319
OC(=O)C(CCC#N)CP(O)(O)=O,335
OC(=O)c1ccccc1-c1ccc(CS)cc1C(O)=O,340
Oc1ccc(C[C@H]2[C@H](N(C(=O)Cc3cccc(c3)C(=O)OCc3ccccc3)C2=O)C(=O)OCc2ccccc2)cc1,348
Oc1ccc(C[C@H]2[C@H](N(C(=O)Cc3cccc(c3)C(=O)OCc3ccccc3)C2=O)C(=O)OCc2ccccc2)cc1,348
CCCP(O)(=O)CC(CCC(O)=O)C(O)=O,360
OC(=O)C(CCCCS)Cc1cccc(c1)C(O)=O,390
OC(=O)CC[C@H](NC(=O)NCC[C@H](NC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,399
OC(=O)CC[C@H](NP(O)(=O)OCCC[C@H](NC(=O)CC[C@H](NC(=O)CCCCCNC(=O)c1ccc(F)cc1)C(O)=O)C(O)=O)C(O)=O,400
OC(=O)c1cc(CS)ccc1OCc1ccccc1,420
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OP([O-])(=O)N[C@@H](CCC([O-])=O)C([O-])=O,435
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](CC[C@]34C)OCCCOP([O-])(=O)N[C@@H](CCC([O-])=O)C([O-])=O)[C@@H]1CCC2=O,438
OC(=O)C(CS)Cc1cccc(c1)C(O)=O,440
